API response: id,API response: main,API response: description,API response: icon,Weather Icons Class,Weather Icons Filename
200,Thunderstorm ,thunderstorm with light rain ,11d,wi-thunderstorm,wi-thunderstorm.svg
201,Thunderstorm ,thunderstorm with rain ,11d,wi-thunderstorm,wi-thunderstorm.svg
202,Thunderstorm ,thunderstorm with heavy rain ,11d,wi-thunderstorm,wi-thunderstorm.svg
210,Thunderstorm ,light thunderstorm ,11d,wi-lightning,wi-lightning.svg
211,Thunderstorm ,thunderstorm ,11d,wi-lightning,wi-lightning.svg
212,Thunderstorm ,heavy thunderstorm ,11d,wi-lightning,wi-lightning.svg
221,Thunderstorm ,ragged thunderstorm ,11d,wi-lightning,wi-lightning.svg
230,Thunderstorm ,thunderstorm with light drizzle ,11d,wi-thunderstorm,wi-thunderstorm.svg
231,Thunderstorm ,thunderstorm with drizzle ,11d,wi-thunderstorm,wi-thunderstorm.svg
232,Thunderstorm ,thunderstorm with heavy drizzle ,11d,wi-thunderstorm,wi-thunderstorm.svg
300,Drizzle ,light intensity drizzle ,09d,wi-sprinkle,wi-sprinkle.svg
301,Drizzle ,drizzle ,09d,wi-sprinkle,wi-sprinkle.svg
302,Drizzle ,heavy intensity drizzle ,09d,wi-rain,wi-rain.svg
310,Drizzle ,light intensity drizzle rain ,09d,wi-rain-mix,wi-rain-mix.svg
311,Drizzle ,drizzle rain ,09d,wi-rain,wi-rain.svg
312,Drizzle ,heavy intensity drizzle rain ,09d,wi-rain,wi-rain.svg
313,Drizzle ,shower rain and drizzle ,09d,wi-showers,wi-showers.svg
314,Drizzle ,heavy shower rain and drizzle ,09d,wi-rain,wi-rain.svg
321,Drizzle ,shower drizzle ,09d,wi-sprinkle,wi-sprinkle.svg
500,Rain ,light rain ,10d,wi-sprinkle,wi-sprinkle.svg
501,Rain ,moderate rain ,10d,wi-rain,wi-rain.svg
502,Rain ,heavy intensity rain ,10d,wi-rain,wi-rain.svg
503,Rain ,very heavy rain ,10d,wi-rain,wi-rain.svg
504,Rain ,extreme rain ,10d,wi-rain,wi-rain.svg
511,Rain ,freezing rain ,13d,wi-rain-mix,wi-rain-mix.svg
520,Rain ,light intensity shower rain ,09d,wi-showers,wi-showers.svg
521,Rain ,shower rain ,09d,wi-showers,wi-showers.svg
522,Rain ,heavy intensity shower rain ,09d,wi-showers,wi-showers.svg
531,Rain ,ragged shower rain ,09d,wi-storm-showers,wi-storm-showers.svg
600,Snow ,light snow ,13d,wi-snow,wi-snow.svg
601,Snow ,snow ,13d,wi-snow,wi-snow.svg
602,Snow ,heavy snow ,13d,wi-sleet,wi-sleet.svg
611,Snow ,sleet ,13d,wi-rain-mix,wi-rain-mix.svg
612,Snow ,light shower sleet ,13d,wi-rain-mix,wi-rain-mix.svg
613,Snow ,shower sleet ,13d,wi-sleet,wi-rain-mix.svg
615,Snow ,light rain and snow ,13d,wi-rain-mix,wi-rain-mix.svg
616,Snow ,rain and snow ,13d,wi-rain-mix,wi-rain-mix.svg
620,Snow ,light shower snow ,13d,wi-rain-mix,wi-rain-mix.svg
621,Snow ,shower snow ,13d,wi-snow,wi-snow.svg
622,Snow ,heavy shower snow ,13d,wi-snow,wi-snow.svg
701,Mist ,mist ,50d,wi-fog,wi-fog.svg
711,Smoke ,smoke ,50d,wi-smoke,wi-smoke.svg
721,Haze ,haze ,50d,wi-day-haze,wi-day-haze.svg
731,Dust ,sand/dust whirls ,50d,wi-dust,wi-dust.svg
741,Fog ,fog ,50d,wi-fog,wi-fog.svg
751,Sand ,sand ,50d,wi-sandstorm,wi-sandstorm.svg
761,Dust ,dust ,50d,wi-dust,wi-dust.svg
762,Ash ,volcanic ash ,50d,wi-dust,wi-dust.svg
771,Squall ,squalls ,50d,wi-cloudy-gusts,wi-cloudy-gusts.svg
781,Tornado ,tornado ,50d,wi-tornado,wi-tornado.svg
800,Clear ,clear sky ,01d,wi-day-sunny,wi-day-sunny.svg
800,Clear ,clear sky ,01n,wi-day-sunny,wi-day-sunny.svg
801,Clouds ,few clouds: 11-25% ,02d,wi-cloud,wi-cloud.svg
801,Clouds ,few clouds: 11-25% ,02n,wi-cloud,wi-cloud.svg
802,Clouds ,scattered clouds: 25-50% ,03d,wi-cloud,wi-cloud.svg
802,Clouds ,scattered clouds: 25-50% ,03n,wi-cloud,wi-cloud.svg
803,Clouds ,broken clouds: 51-84% ,04d,wi-cloudy,wi-cloudy.svg
803,Clouds ,broken clouds: 51-84% ,04n,wi-cloudy,wi-cloudy.svg
804,Clouds ,overcast clouds: 85-100% ,04d,wi-cloudy,wi-cloudy.svg
804,Clouds ,overcast clouds: 85-100% ,04n,wi-cloudy,wi-cloudy.svg
